data\cghd_text\cghd_017854.png	4148
data\cghd_text\cghd_017882.png	12
data\cghd_text\cghd_027835.png	18K
data\cghd_text\cghd_034336.png	-
data\cghd_text\cghd_026108.png	500
data\cghd_text\cghd_012812.png	+12V
data\cghd_text\cghd_024469.png	K4
data\cghd_text\cghd_004468.png	100K
data\cghd_text\cghd_034393.png	6.8K
data\cghd_text\cghd_017480.png	15
data\cghd_text\cghd_005122.png	1
data\cghd_text\cghd_015531.png	6
data\cghd_text\cghd_001009.png	50V
data\cghd_text\cghd_021650.png	10K
data\cghd_text\cghd_026939.png	20mA
data\cghd_text\cghd_012947.png	n0
data\cghd_text\cghd_012498.png	+5V
data\cghd_text\cghd_035008.png	16
data\cghd_text\cghd_030365.png	A2
data\cghd_text\cghd_025076.png	39KΩ
data\cghd_text\cghd_031956.png	0V
data\cghd_text\cghd_002834.png	10MΩ
data\cghd_text\cghd_019875.png	9
data\cghd_text\cghd_009874.png	680K
data\cghd_text\cghd_022474.png	10K
data\cghd_text\cghd_025784.png	100Ω
data\cghd_text\cghd_009497.png	+
data\cghd_text\cghd_003477.png	220.0
data\cghd_text\cghd_035354.png	2
data\cghd_text\cghd_030410.png	4
data\cghd_text\cghd_011721.png	3KΩ
data\cghd_text\cghd_002378.png	10Ω
data\cghd_text\cghd_033425.png	4
data\cghd_text\cghd_022966.png	.47
data\cghd_text\cghd_001491.png	+
data\cghd_text\cghd_019189.png	14
data\cghd_text\cghd_024443.png	+5V
data\cghd_text\cghd_024771.png	A
data\cghd_text\cghd_002072.png	1.2K
data\cghd_text\cghd_020262.png	220V
data\cghd_text\cghd_032565.png	100kΩ
data\cghd_text\cghd_021018.png	+5V
data\cghd_text\cghd_000193.png	3.3M
data\cghd_text\cghd_017525.png	+5
data\cghd_text\cghd_003876.png	9
data\cghd_text\cghd_022062.png	+5V
data\cghd_text\cghd_012763.png	1
data\cghd_text\cghd_000553.png	1nF
data\cghd_text\cghd_031424.png	4756
data\cghd_text\cghd_014189.png	17
data\cghd_text\cghd_013252.png	1
data\cghd_text\cghd_020650.png	2
data\cghd_text\cghd_014782.png	1
data\cghd_text\cghd_034064.png	25K
data\cghd_text\cghd_013357.png	A1
data\cghd_text\cghd_031487.png	0.047
data\cghd_text\cghd_029851.png	13-15A
data\cghd_text\cghd_034255.png	1
data\cghd_text\cghd_034315.png	-
data\cghd_text\cghd_018840.png	6V
data\cghd_text\cghd_002308.png	470Ω
data\cghd_text\cghd_018287.png	470pF
data\cghd_text\cghd_008254.png	255
data\cghd_text\cghd_026024.png	A0
data\cghd_text\cghd_005832.png	100u
data\cghd_text\cghd_031002.png	V1
data\cghd_text\cghd_002400.png	27K
data\cghd_text\cghd_002867.png	10kΩ
data\cghd_text\cghd_033645.png	2k2
data\cghd_text\cghd_010869.png	5
data\cghd_text\cghd_023490.png	10kΩ
data\cghd_text\cghd_015047.png	2
data\cghd_text\cghd_000778.png	480Ω
data\cghd_text\cghd_033876.png	+
data\cghd_text\cghd_032397.png	1kΩ
data\cghd_text\cghd_024474.png	4
data\cghd_text\cghd_002363.png	10Ω
data\cghd_text\cghd_026763.png	100
data\cghd_text\cghd_034668.png	10
data\cghd_text\cghd_014261.png	10
data\cghd_text\cghd_025401.png	13
data\cghd_text\cghd_024293.png	10K
data\cghd_text\cghd_028791.png	9V
data\cghd_text\cghd_023027.png	3.3u
data\cghd_text\cghd_027156.png	1
data\cghd_text\cghd_017621.png	9
data\cghd_text\cghd_035125.png	10K
data\cghd_text\cghd_003405.png	10u
data\cghd_text\cghd_027383.png	47K
data\cghd_text\cghd_034412.png	1M
data\cghd_text\cghd_022459.png	2.5K
data\cghd_text\cghd_028342.png	100n
data\cghd_text\cghd_035010.png	14
data\cghd_text\cghd_025348.png	1
data\cghd_text\cghd_020627.png	6
data\cghd_text\cghd_021965.png	10K
data\cghd_text\cghd_006906.png	K
data\cghd_text\cghd_002145.png	4
data\cghd_text\cghd_020543.png	12
data\cghd_text\cghd_031577.png	-
data\cghd_text\cghd_017472.png	17
data\cghd_text\cghd_017628.png	K1
data\cghd_text\cghd_032604.png	2
data\cghd_text\cghd_005485.png	1KΩ
data\cghd_text\cghd_003144.png	10KΩ
data\cghd_text\cghd_002698.png	10k
data\cghd_text\cghd_016839.png	A10
data\cghd_text\cghd_010496.png	-12V
data\cghd_text\cghd_006308.png	2
data\cghd_text\cghd_021349.png	7
data\cghd_text\cghd_029434.png	9V
data\cghd_text\cghd_009713.png	240V
data\cghd_text\cghd_001436.png	470Ω
data\cghd_text\cghd_015951.png	10
data\cghd_text\cghd_014600.png	10
data\cghd_text\cghd_016670.png	7
data\cghd_text\cghd_026306.png	60Hz
data\cghd_text\cghd_016852.png	33pF
data\cghd_text\cghd_012286.png	14
data\cghd_text\cghd_025247.png	3
data\cghd_text\cghd_026938.png	20mA
data\cghd_text\cghd_016936.png	8
data\cghd_text\cghd_029862.png	5
data\cghd_text\cghd_000809.png	A
data\cghd_text\cghd_009267.png	10
data\cghd_text\cghd_035370.png	100K
data\cghd_text\cghd_017702.png	K1
data\cghd_text\cghd_008407.png	1
data\cghd_text\cghd_032760.png	6V
data\cghd_text\cghd_003715.png	15
data\cghd_text\cghd_026090.png	5V
data\cghd_text\cghd_030013.png	1
data\cghd_text\cghd_012496.png	820Ω
data\cghd_text\cghd_010516.png	4.7M
data\cghd_text\cghd_029021.png	0
data\cghd_text\cghd_022365.png	47
data\cghd_text\cghd_001306.png	6
data\cghd_text\cghd_007989.png	+
data\cghd_text\cghd_020353.png	22pF
data\cghd_text\cghd_030100.png	5
data\cghd_text\cghd_020109.png	1
data\cghd_text\cghd_021045.png	100K
data\cghd_text\cghd_029638.png	6V
data\cghd_text\cghd_007875.png	100
data\cghd_text\cghd_014603.png	1
data\cghd_text\cghd_011337.png	6
data\cghd_text\cghd_021919.png	3
data\cghd_text\cghd_033898.png	V
data\cghd_text\cghd_000288.png	5
data\cghd_text\cghd_021276.png	10K
data\cghd_text\cghd_033099.png	22K
data\cghd_text\cghd_032348.png	100Ω
data\cghd_text\cghd_018393.png	11
data\cghd_text\cghd_015560.png	12
data\cghd_text\cghd_017383.png	11
data\cghd_text\cghd_020259.png	5
data\cghd_text\cghd_024663.png	1012
data\cghd_text\cghd_033590.png	100KΩ
data\cghd_text\cghd_009619.png	1M
data\cghd_text\cghd_011822.png	10Ω
data\cghd_text\cghd_034077.png	+
data\cghd_text\cghd_010875.png	6
data\cghd_text\cghd_031181.png	12V
data\cghd_text\cghd_006991.png	27K
data\cghd_text\cghd_028947.png	-
data\cghd_text\cghd_007248.png	39K
data\cghd_text\cghd_011449.png	33K
data\cghd_text\cghd_003012.png	25V
data\cghd_text\cghd_031025.png	+
data\cghd_text\cghd_017597.png	18
data\cghd_text\cghd_017795.png	2K2
data\cghd_text\cghd_013629.png	13
data\cghd_text\cghd_005222.png	20
data\cghd_text\cghd_016552.png	6
data\cghd_text\cghd_025764.png	2
data\cghd_text\cghd_002234.png	2
data\cghd_text\cghd_017059.png	4.7K
data\cghd_text\cghd_006025.png	10K
data\cghd_text\cghd_007207.png	27K
data\cghd_text\cghd_017216.png	15
data\cghd_text\cghd_010415.png	M7
data\cghd_text\cghd_023189.png	11
data\cghd_text\cghd_025691.png	HV2
data\cghd_text\cghd_002388.png	10K
data\cghd_text\cghd_011733.png	8KΩ
data\cghd_text\cghd_018027.png	18pF
data\cghd_text\cghd_018765.png	6V
data\cghd_text\cghd_025883.png	5V0
data\cghd_text\cghd_016074.png	14
data\cghd_text\cghd_009868.png	5K
data\cghd_text\cghd_021688.png	33V
data\cghd_text\cghd_027628.png	10
data\cghd_text\cghd_020172.png	1M
data\cghd_text\cghd_020492.png	2
data\cghd_text\cghd_032507.png	6
data\cghd_text\cghd_025351.png	-
data\cghd_text\cghd_001666.png	A
data\cghd_text\cghd_035337.png	1
data\cghd_text\cghd_032127.png	1n
data\cghd_text\cghd_030429.png	2
data\cghd_text\cghd_005036.png	6
data\cghd_text\cghd_001308.png	3
data\cghd_text\cghd_005072.png	1.6A
data\cghd_text\cghd_023255.png	240pF
data\cghd_text\cghd_015280.png	+5V
data\cghd_text\cghd_010831.png	1
data\cghd_text\cghd_000184.png	39K
data\cghd_text\cghd_008356.png	28
data\cghd_text\cghd_035228.png	620Ω
data\cghd_text\cghd_032233.png	4
data\cghd_text\cghd_030808.png	4
data\cghd_text\cghd_004262.png	1K
data\cghd_text\cghd_008658.png	1
data\cghd_text\cghd_018238.png	7
data\cghd_text\cghd_009145.png	3
data\cghd_text\cghd_014041.png	10u
data\cghd_text\cghd_001331.png	3
data\cghd_text\cghd_012360.png	1KΩ
data\cghd_text\cghd_003910.png	100K
data\cghd_text\cghd_016837.png	A12
data\cghd_text\cghd_033499.png	1
data\cghd_text\cghd_005694.png	22uF
data\cghd_text\cghd_006126.png	-
data\cghd_text\cghd_002440.png	220-45V
data\cghd_text\cghd_022369.png	1.5K
data\cghd_text\cghd_005813.png	3
data\cghd_text\cghd_014706.png	36
data\cghd_text\cghd_030883.png	16V
data\cghd_text\cghd_006340.png	2
data\cghd_text\cghd_023753.png	120k
data\cghd_text\cghd_025432.png	A0
data\cghd_text\cghd_006437.png	V-
data\cghd_text\cghd_019771.png	11
data\cghd_text\cghd_024197.png	500Ω
data\cghd_text\cghd_017911.png	7
data\cghd_text\cghd_019280.png	14007
data\cghd_text\cghd_024743.png	3K
data\cghd_text\cghd_033372.png	12V
data\cghd_text\cghd_021221.png	6
data\cghd_text\cghd_023250.png	7
data\cghd_text\cghd_031672.png	8.2K
data\cghd_text\cghd_020767.png	10uF
data\cghd_text\cghd_029867.png	K1.3
data\cghd_text\cghd_007390.png	1KΩ
data\cghd_text\cghd_027196.png	2
data\cghd_text\cghd_014518.png	39
data\cghd_text\cghd_028512.png	6
data\cghd_text\cghd_028195.png	100n
data\cghd_text\cghd_025589.png	-
data\cghd_text\cghd_028470.png	4
data\cghd_text\cghd_034199.png	1
data\cghd_text\cghd_006654.png	1uF
data\cghd_text\cghd_008235.png	4
data\cghd_text\cghd_024368.png	4
data\cghd_text\cghd_000424.png	M0.1
data\cghd_text\cghd_001762.png	9V
data\cghd_text\cghd_018092.png	1
data\cghd_text\cghd_010245.png	100nF
data\cghd_text\cghd_022450.png	47
data\cghd_text\cghd_031467.png	1A
data\cghd_text\cghd_013650.png	11
data\cghd_text\cghd_012699.png	5
data\cghd_text\cghd_033646.png	100n
data\cghd_text\cghd_030359.png	3
data\cghd_text\cghd_001539.png	2
data\cghd_text\cghd_021774.png	220uF
data\cghd_text\cghd_022706.png	100pF
data\cghd_text\cghd_009425.png	200
data\cghd_text\cghd_022810.png	1000p
data\cghd_text\cghd_035371.png	1K
data\cghd_text\cghd_026110.png	3.3K
data\cghd_text\cghd_025700.png	A2
data\cghd_text\cghd_016741.png	10
data\cghd_text\cghd_007785.png	100
data\cghd_text\cghd_012743.png	11
data\cghd_text\cghd_018391.png	17
data\cghd_text\cghd_021204.png	15
data\cghd_text\cghd_034050.png	25K
data\cghd_text\cghd_031325.png	1K
data\cghd_text\cghd_028339.png	+5V
data\cghd_text\cghd_018411.png	9V
data\cghd_text\cghd_024231.png	+12V
data\cghd_text\cghd_034144.png	100K
data\cghd_text\cghd_028443.png	6
data\cghd_text\cghd_020188.png	100K
data\cghd_text\cghd_003358.png	200n
data\cghd_text\cghd_014830.png	150Ω
data\cghd_text\cghd_026674.png	10kΩ
data\cghd_text\cghd_011753.png	120Ω
data\cghd_text\cghd_001058.png	47K
data\cghd_text\cghd_017733.png	6
data\cghd_text\cghd_024693.png	3
data\cghd_text\cghd_006684.png	6
data\cghd_text\cghd_035012.png	2
data\cghd_text\cghd_025701.png	A3
data\cghd_text\cghd_022629.png	150nF
data\cghd_text\cghd_002032.png	100Ω
data\cghd_text\cghd_031573.png	470
data\cghd_text\cghd_004798.png	1K
data\cghd_text\cghd_008210.png	10n
data\cghd_text\cghd_022393.png	68K
data\cghd_text\cghd_009391.png	12K
data\cghd_text\cghd_005273.png	-
data\cghd_text\cghd_025740.png	5V
data\cghd_text\cghd_024582.png	470u
data\cghd_text\cghd_008748.png	9
data\cghd_text\cghd_006550.png	3
data\cghd_text\cghd_001854.png	50Ω
data\cghd_text\cghd_021962.png	1
data\cghd_text\cghd_001738.png	V1
data\cghd_text\cghd_004762.png	12V
data\cghd_text\cghd_012480.png	11
data\cghd_text\cghd_000828.png	1KΩ
data\cghd_text\cghd_003488.png	2A
data\cghd_text\cghd_017128.png	3
data\cghd_text\cghd_033285.png	5
data\cghd_text\cghd_026486.png	47K
data\cghd_text\cghd_013840.png	5
data\cghd_text\cghd_027764.png	18K
data\cghd_text\cghd_028753.png	9V
data\cghd_text\cghd_009369.png	33K
data\cghd_text\cghd_017494.png	2K2
data\cghd_text\cghd_027570.png	18K
data\cghd_text\cghd_029290.png	6Ω
data\cghd_text\cghd_024506.png	4
data\cghd_text\cghd_022093.png	25
data\cghd_text\cghd_013679.png	+300V
data\cghd_text\cghd_023269.png	13
data\cghd_text\cghd_021861.png	8
data\cghd_text\cghd_018698.png	4
data\cghd_text\cghd_019097.png	5
data\cghd_text\cghd_015740.png	9
data\cghd_text\cghd_018424.png	8
data\cghd_text\cghd_011542.png	9V
data\cghd_text\cghd_024929.png	10u
data\cghd_text\cghd_003781.png	7
data\cghd_text\cghd_023276.png	10
data\cghd_text\cghd_010563.png	1M
data\cghd_text\cghd_020869.png	47K
data\cghd_text\cghd_022751.png	22
data\cghd_text\cghd_017776.png	16
data\cghd_text\cghd_016511.png	34
data\cghd_text\cghd_005826.png	10K
data\cghd_text\cghd_033632.png	8
data\cghd_text\cghd_023278.png	7
data\cghd_text\cghd_004347.png	A5
data\cghd_text\cghd_022032.png	2
data\cghd_text\cghd_030185.png	3
data\cghd_text\cghd_011314.png	4
data\cghd_text\cghd_022498.png	-6
data\cghd_text\cghd_031197.png	3
data\cghd_text\cghd_023408.png	4.7kΩ
data\cghd_text\cghd_020452.png	0V
data\cghd_text\cghd_006871.png	10K
data\cghd_text\cghd_006582.png	1
data\cghd_text\cghd_007121.png	33p
data\cghd_text\cghd_020728.png	V+
data\cghd_text\cghd_018139.png	1
data\cghd_text\cghd_030654.png	100uH
data\cghd_text\cghd_024144.png	+
data\cghd_text\cghd_023326.png	8
data\cghd_text\cghd_010286.png	100K
data\cghd_text\cghd_028203.png	10
data\cghd_text\cghd_017950.png	14
data\cghd_text\cghd_032653.png	220Ω
data\cghd_text\cghd_027625.png	1K
data\cghd_text\cghd_009794.png	2
data\cghd_text\cghd_016786.png	13
data\cghd_text\cghd_024524.png	V+
data\cghd_text\cghd_032633.png	+
data\cghd_text\cghd_022938.png	68K
data\cghd_text\cghd_019743.png	8
data\cghd_text\cghd_013524.png	1
data\cghd_text\cghd_004527.png	3V
data\cghd_text\cghd_004370.png	220
data\cghd_text\cghd_035056.png	12V
data\cghd_text\cghd_014838.png	15KΩ
data\cghd_text\cghd_009639.png	+
data\cghd_text\cghd_011234.png	6.8KΩ
data\cghd_text\cghd_013037.png	13
data\cghd_text\cghd_008965.png	A4
data\cghd_text\cghd_008134.png	1M
data\cghd_text\cghd_024981.png	39kΩ
data\cghd_text\cghd_022692.png	100pF
data\cghd_text\cghd_030012.png	96
data\cghd_text\cghd_031253.png	470pF
data\cghd_text\cghd_013718.png	22uF
data\cghd_text\cghd_012604.png	3
data\cghd_text\cghd_028881.png	20mA
data\cghd_text\cghd_016518.png	A14
data\cghd_text\cghd_010546.png	470p
data\cghd_text\cghd_028924.png	12V
data\cghd_text\cghd_019862.png	1uF
data\cghd_text\cghd_033027.png	12V
data\cghd_text\cghd_021545.png	100K
data\cghd_text\cghd_012694.png	200Ω
data\cghd_text\cghd_032831.png	3
data\cghd_text\cghd_004206.png	4.7K
data\cghd_text\cghd_026713.png	11V
data\cghd_text\cghd_023936.png	100nF
data\cghd_text\cghd_005690.png	10k
data\cghd_text\cghd_018958.png	7
data\cghd_text\cghd_022669.png	47kΩ
data\cghd_text\cghd_005806.png	8
data\cghd_text\cghd_029824.png	A2
data\cghd_text\cghd_030184.png	13
data\cghd_text\cghd_025594.png	3
data\cghd_text\cghd_031011.png	-
data\cghd_text\cghd_030289.png	1
data\cghd_text\cghd_015824.png	19
data\cghd_text\cghd_019173.png	6
data\cghd_text\cghd_027486.png	16V
data\cghd_text\cghd_014182.png	10
data\cghd_text\cghd_030648.png	+
data\cghd_text\cghd_018128.png	4
data\cghd_text\cghd_001591.png	22K
data\cghd_text\cghd_024124.png	+
data\cghd_text\cghd_017378.png	17
data\cghd_text\cghd_000142.png	-
data\cghd_text\cghd_016345.png	6
data\cghd_text\cghd_004411.png	220
data\cghd_text\cghd_016521.png	25
data\cghd_text\cghd_019310.png	12
data\cghd_text\cghd_021576.png	100K
data\cghd_text\cghd_014987.png	4.7uF
data\cghd_text\cghd_014762.png	35
data\cghd_text\cghd_031120.png	4001
data\cghd_text\cghd_025301.png	+
data\cghd_text\cghd_004037.png	8
data\cghd_text\cghd_019294.png	4
data\cghd_text\cghd_022024.png	20
data\cghd_text\cghd_027442.png	10uF
data\cghd_text\cghd_020750.png	+3
data\cghd_text\cghd_030363.png	F1
data\cghd_text\cghd_001523.png	4
data\cghd_text\cghd_013581.png	+5V
data\cghd_text\cghd_024810.png	2u
data\cghd_text\cghd_003531.png	15
data\cghd_text\cghd_031986.png	6V
data\cghd_text\cghd_023487.png	10kΩ
data\cghd_text\cghd_031374.png	7812
data\cghd_text\cghd_025605.png	100Ω
data\cghd_text\cghd_027018.png	39
data\cghd_text\cghd_014976.png	1
data\cghd_text\cghd_007064.png	0
data\cghd_text\cghd_031951.png	6V
data\cghd_text\cghd_027924.png	8
data\cghd_text\cghd_030481.png	+
data\cghd_text\cghd_032412.png	40A7
data\cghd_text\cghd_006145.png	3A
data\cghd_text\cghd_006419.png	6
data\cghd_text\cghd_020016.png	9
data\cghd_text\cghd_008332.png	33
data\cghd_text\cghd_003504.png	820
data\cghd_text\cghd_013409.png	15
data\cghd_text\cghd_023644.png	120k
data\cghd_text\cghd_024330.png	V-
data\cghd_text\cghd_023489.png	10Ω
data\cghd_text\cghd_026930.png	3
data\cghd_text\cghd_004602.png	50V
data\cghd_text\cghd_035204.png	4.7K
data\cghd_text\cghd_005379.png	4
data\cghd_text\cghd_029388.png	12K
data\cghd_text\cghd_001500.png	+
data\cghd_text\cghd_003483.png	2A
data\cghd_text\cghd_023006.png	10K
data\cghd_text\cghd_012251.png	9
data\cghd_text\cghd_017104.png	5
data\cghd_text\cghd_017946.png	+5
data\cghd_text\cghd_009567.png	+5V
data\cghd_text\cghd_031155.png	4001
data\cghd_text\cghd_020763.png	18
data\cghd_text\cghd_034619.png	2
data\cghd_text\cghd_011637.png	4K7
data\cghd_text\cghd_011185.png	10nF
data\cghd_text\cghd_032824.png	4
data\cghd_text\cghd_007266.png	3
data\cghd_text\cghd_021591.png	11213
data\cghd_text\cghd_024881.png	+12V
data\cghd_text\cghd_003192.png	22nF
data\cghd_text\cghd_003736.png	1K
data\cghd_text\cghd_014828.png	22pF
data\cghd_text\cghd_023459.png	820pF
data\cghd_text\cghd_011904.png	300kΩ
data\cghd_text\cghd_021534.png	1
data\cghd_text\cghd_023483.png	10kΩ
data\cghd_text\cghd_015503.png	6
data\cghd_text\cghd_033245.png	7
data\cghd_text\cghd_020308.png	8
data\cghd_text\cghd_032967.png	2
data\cghd_text\cghd_018355.png	820K
data\cghd_text\cghd_010878.png	13
data\cghd_text\cghd_014891.png	22pF
data\cghd_text\cghd_035360.png	1
data\cghd_text\cghd_007304.png	470KΩ
data\cghd_text\cghd_026757.png	1KV
data\cghd_text\cghd_001778.png	1K
data\cghd_text\cghd_027043.png	47K
data\cghd_text\cghd_011906.png	60KΩ
data\cghd_text\cghd_011169.png	9V
data\cghd_text\cghd_014949.png	F1
data\cghd_text\cghd_022002.png	4
data\cghd_text\cghd_032871.png	7
data\cghd_text\cghd_006778.png	2
data\cghd_text\cghd_018426.png	+5
data\cghd_text\cghd_016657.png	3
data\cghd_text\cghd_032818.png	220Ω
data\cghd_text\cghd_009981.png	5V
data\cghd_text\cghd_020890.png	V+
data\cghd_text\cghd_020285.png	220V
data\cghd_text\cghd_033778.png	0V
data\cghd_text\cghd_025945.png	1
data\cghd_text\cghd_002978.png	22nF
data\cghd_text\cghd_033640.png	100n
data\cghd_text\cghd_000005.png	110kV/3
data\cghd_text\cghd_017992.png	2
data\cghd_text\cghd_034298.png	1K6
data\cghd_text\cghd_001174.png	6
data\cghd_text\cghd_013511.png	7
data\cghd_text\cghd_013219.png	2
data\cghd_text\cghd_003363.png	0.4
data\cghd_text\cghd_000582.png	1KΩ
data\cghd_text\cghd_021409.png	2
data\cghd_text\cghd_024419.png	V
data\cghd_text\cghd_031528.png	-
data\cghd_text\cghd_003889.png	32V
data\cghd_text\cghd_010356.png	-
data\cghd_text\cghd_014649.png	6
data\cghd_text\cghd_016333.png	9
data\cghd_text\cghd_032388.png	5
data\cghd_text\cghd_031397.png	7812
data\cghd_text\cghd_014683.png	12
data\cghd_text\cghd_018777.png	10K
data\cghd_text\cghd_026255.png	3V
data\cghd_text\cghd_014555.png	7
data\cghd_text\cghd_015043.png	12MHz
data\cghd_text\cghd_034497.png	1
data\cghd_text\cghd_007700.png	22K
data\cghd_text\cghd_026774.png	470K
data\cghd_text\cghd_013214.png	1
data\cghd_text\cghd_012407.png	11
data\cghd_text\cghd_021080.png	6
data\cghd_text\cghd_018038.png	100nF
data\cghd_text\cghd_007297.png	22.5V
data\cghd_text\cghd_016611.png	A14
data\cghd_text\cghd_001649.png	A
data\cghd_text\cghd_009114.png	12
data\cghd_text\cghd_010842.png	8
data\cghd_text\cghd_007893.png	10n
data\cghd_text\cghd_034044.png	.1
data\cghd_text\cghd_016110.png	8
data\cghd_text\cghd_024622.png	3
data\cghd_text\cghd_002453.png	400V
data\cghd_text\cghd_005419.png	1K
data\cghd_text\cghd_028489.png	9.15V
data\cghd_text\cghd_033748.png	2
data\cghd_text\cghd_027914.png	8
data\cghd_text\cghd_015377.png	65
data\cghd_text\cghd_027814.png	18K
data\cghd_text\cghd_016566.png	10u
data\cghd_text\cghd_005142.png	47n
data\cghd_text\cghd_030617.png	470Ω
data\cghd_text\cghd_021082.png	3
data\cghd_text\cghd_000381.png	330K
data\cghd_text\cghd_001788.png	22K
data\cghd_text\cghd_020083.png	1nF
data\cghd_text\cghd_029231.png	9V
data\cghd_text\cghd_018295.png	+5
data\cghd_text\cghd_027080.png	4
data\cghd_text\cghd_035445.png	+9V
data\cghd_text\cghd_033287.png	7
data\cghd_text\cghd_012611.png	200Ω
data\cghd_text\cghd_021017.png	10K
data\cghd_text\cghd_022160.png	22pF
data\cghd_text\cghd_021748.png	2
data\cghd_text\cghd_011329.png	10nF
data\cghd_text\cghd_015791.png	33
data\cghd_text\cghd_008145.png	500p
data\cghd_text\cghd_023810.png	4k7
data\cghd_text\cghd_021683.png	100nF
data\cghd_text\cghd_014183.png	11
data\cghd_text\cghd_003120.png	V301006
data\cghd_text\cghd_031761.png	8.2K
data\cghd_text\cghd_022956.png	68K
data\cghd_text\cghd_022552.png	270kΩ
data\cghd_text\cghd_033325.png	6
data\cghd_text\cghd_017009.png	16
data\cghd_text\cghd_011085.png	470
data\cghd_text\cghd_028611.png	+5V
data\cghd_text\cghd_021949.png	0.1uF
data\cghd_text\cghd_007339.png	560Ω
data\cghd_text\cghd_018514.png	100K
data\cghd_text\cghd_023716.png	4k7
data\cghd_text\cghd_032619.png	A
data\cghd_text\cghd_024367.png	V
data\cghd_text\cghd_025150.png	10K
data\cghd_text\cghd_017197.png	5
data\cghd_text\cghd_022214.png	100K
data\cghd_text\cghd_028453.png	10
data\cghd_text\cghd_023087.png	0-20pF
data\cghd_text\cghd_031805.png	1
data\cghd_text\cghd_010296.png	12K
data\cghd_text\cghd_021462.png	1
data\cghd_text\cghd_008572.png	1
data\cghd_text\cghd_002075.png	68K
data\cghd_text\cghd_032588.png	470Ω
data\cghd_text\cghd_014440.png	5
data\cghd_text\cghd_013476.png	10
data\cghd_text\cghd_029084.png	1K
data\cghd_text\cghd_003700.png	10K
data\cghd_text\cghd_015994.png	19
data\cghd_text\cghd_030159.png	5
data\cghd_text\cghd_015829.png	3
data\cghd_text\cghd_004281.png	5V
data\cghd_text\cghd_029221.png	4.7V
data\cghd_text\cghd_023831.png	10k
data\cghd_text\cghd_027477.png	1.8K
data\cghd_text\cghd_028834.png	9V
data\cghd_text\cghd_022428.png	1.1K
data\cghd_text\cghd_028264.png	3
data\cghd_text\cghd_000944.png	V
data\cghd_text\cghd_020032.png	8
data\cghd_text\cghd_011750.png	12KΩ
data\cghd_text\cghd_025531.png	+3.7V
data\cghd_text\cghd_012443.png	1KΩ
data\cghd_text\cghd_020031.png	14
data\cghd_text\cghd_005939.png	12V
data\cghd_text\cghd_014357.png	1
data\cghd_text\cghd_022229.png	10K
data\cghd_text\cghd_018643.png	0.1uF
data\cghd_text\cghd_026288.png	160V
data\cghd_text\cghd_015816.png	10u
data\cghd_text\cghd_033184.png	100K
data\cghd_text\cghd_029859.png	20
data\cghd_text\cghd_013632.png	2
data\cghd_text\cghd_003398.png	VM1
data\cghd_text\cghd_005223.png	1n
data\cghd_text\cghd_027667.png	18K
data\cghd_text\cghd_030882.png	16V
data\cghd_text\cghd_001921.png	330K
data\cghd_text\cghd_023803.png	10k
data\cghd_text\cghd_034177.png	3
data\cghd_text\cghd_004342.png	5V
data\cghd_text\cghd_003704.png	1M
data\cghd_text\cghd_005465.png	5K
data\cghd_text\cghd_035097.png	11
data\cghd_text\cghd_029036.png	V5
data\cghd_text\cghd_033154.png	22K
data\cghd_text\cghd_013819.png	14
data\cghd_text\cghd_026211.png	3
data\cghd_text\cghd_015671.png	4
data\cghd_text\cghd_027874.png	11
data\cghd_text\cghd_022606.png	500kΩ
data\cghd_text\cghd_012639.png	820Ω
data\cghd_text\cghd_027384.png	16V
data\cghd_text\cghd_008907.png	9
data\cghd_text\cghd_014959.png	4.7uF
data\cghd_text\cghd_013115.png	6
data\cghd_text\cghd_013132.png	10K
data\cghd_text\cghd_003730.png	2
data\cghd_text\cghd_005992.png	18K
data\cghd_text\cghd_031339.png	1Ω
data\cghd_text\cghd_026704.png	1
data\cghd_text\cghd_033558.png	1kΩ
data\cghd_text\cghd_003045.png	50V
data\cghd_text\cghd_024021.png	0V
data\cghd_text\cghd_028785.png	4
data\cghd_text\cghd_008791.png	A2
data\cghd_text\cghd_020375.png	5
data\cghd_text\cghd_014343.png	22uF
data\cghd_text\cghd_029311.png	2Ω
data\cghd_text\cghd_011715.png	8KΩ
data\cghd_text\cghd_010769.png	23
data\cghd_text\cghd_005587.png	uF
data\cghd_text\cghd_033523.png	17kΩ
data\cghd_text\cghd_021736.png	K1
data\cghd_text\cghd_004534.png	100
data\cghd_text\cghd_027918.png	6
data\cghd_text\cghd_000316.png	+
data\cghd_text\cghd_001503.png	5
data\cghd_text\cghd_029173.png	1K
data\cghd_text\cghd_034927.png	470Ω
data\cghd_text\cghd_027893.png	6
data\cghd_text\cghd_003112.png	20Ω
data\cghd_text\cghd_003797.png	100n
data\cghd_text\cghd_024200.png	100KΩ
data\cghd_text\cghd_013959.png	3
data\cghd_text\cghd_010246.png	1K
data\cghd_text\cghd_022176.png	0.1uF
data\cghd_text\cghd_026266.png	V1
data\cghd_text\cghd_011803.png	3.32kΩ
data\cghd_text\cghd_009521.png	3
data\cghd_text\cghd_027926.png	3
data\cghd_text\cghd_001292.png	+
data\cghd_text\cghd_028643.png	16V
data\cghd_text\cghd_005724.png	10K
data\cghd_text\cghd_026646.png	0Ω
data\cghd_text\cghd_003270.png	470u
data\cghd_text\cghd_001641.png	A
data\cghd_text\cghd_033200.png	6
